"id","station","temperature","QFE","QNH","dewpoint","ceiling","humidity","createTime"
"4064995","EDNG","-4.61","969.12","1030.43","-4.86","1893.96","98.11","2022-01-15 00:00:32"
"4064996","EDNG","-4.70","969.11","1030.42","-4.96","1896.04","98.07","2022-01-15 00:02:05"
"4064997","EDNG","-4.72","969.06","1030.36","-4.98","1896.02","98.07","2022-01-15 00:03:06"
"4064998","EDNG","-4.73","969.03","1030.33","-4.99","1896.01","98.07","2022-01-15 00:04:07"
"4064999","EDNG","-4.73","969.04","1030.34","-4.99","1896.01","98.07","2022-01-15 00:05:08"
"4065000","EDNG","-4.74","969.03","1030.33","-5.00","1895.47","98.08","2022-01-15 00:06:09"
"4065001","EDNG","-4.74","969.07","1030.37","-4.99","1894.93","98.09","2022-01-15 00:07:10"
"4065002","EDNG","-4.74","969.03","1030.33","-4.99","1894.39","98.10","2022-01-15 00:08:11"
"4065003","EDNG","-4.74","969.04","1030.34","-4.99","1894.39","98.10","2022-01-15 00:09:12"
"4065004","EDNG","-4.75","969.05","1030.35","-5.00","1894.38","98.10","2022-01-15 00:10:13"
"4065005","EDNG","-4.76","969.05","1030.35","-5.01","1894.37","98.10","2022-01-15 00:11:14"
"4065006","EDNG","-4.76","969.05","1030.35","-5.01","1893.83","98.11","2022-01-15 00:12:16"
"4065007","EDNG","-4.77","969.03","1030.33","-5.02","1893.83","98.11","2022-01-15 00:13:17"
"4065008","EDNG","-4.79","969.03","1030.33","-5.04","1894.35","98.10","2022-01-15 00:14:18"
"4065009","EDNG","-4.81","969.02","1030.32","-5.06","1894.87","98.09","2022-01-15 00:15:19"
"4065010","EDNG","-4.85","969.03","1030.33","-5.11","1895.37","98.08","2022-01-15 00:16:20"
"4065011","EDNG","-4.91","969.12","1030.43","-5.17","1896.40","98.06","2022-01-15 00:17:21"
"4065012","EDNG","-4.96","969.10","1030.40","-5.22","1896.89","98.05","2022-01-15 00:18:22"
"4065013","EDNG","-5.00","969.07","1030.37","-5.26","1896.86","98.05","2022-01-15 00:19:23"
"4065014","EDNG","-5.00","968.97","1030.27","-5.26","1896.86","98.05","2022-01-15 00:20:24"
"4065015","EDNG","-4.97","968.98","1030.28","-5.23","1896.35","98.06","2022-01-15 00:21:25"
"4065016","EDNG","-4.91","968.93","1030.23","-5.17","1895.86","98.07","2022-01-15 00:22:27"
"4065017","EDNG","-4.84","968.92","1030.22","-5.09","1894.84","98.09","2022-01-15 00:23:28"
"4065018","EDNG","-4.78","968.92","1030.22","-5.03","1894.36","98.10","2022-01-15 00:24:29"
"4065019","EDNG","-4.73","968.92","1030.22","-4.98","1893.86","98.11","2022-01-15 00:25:30"
"4065020","EDNG","-4.70","968.97","1030.27","-4.95","1893.35","98.12","2022-01-15 00:26:31"
"4065021","EDNG","-4.69","968.93","1030.23","-4.94","1893.36","98.12","2022-01-15 00:27:32"
"4065022","EDNG","-4.70","968.96","1030.26","-4.95","1893.89","98.11","2022-01-15 00:28:33"
